OBJECTID,ID,CDMUN,NMMUN,SGUF,ISH,TPMAN,CSMAN,TPSIS,TPOPE,SHAPE_Length,SHAPE_Area
677,677,2200608,Angical do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.764392957329082,0.018222131111904
678,678,2200707,Anísio de Abreu,PI,Baixa,Exclusivamente Subterrânea,Manancial com Alta Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.880389329034047,0.0277987189946755
679,679,2200806,Antônio Almeida,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.07959292344113,0.0528664687884139
680,680,2200905,Aroazes,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.66631313517021,0.0670898311361155
681,681,2200954,Aroeiras do Itaim,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.79697318972303,0.0258927749993336
682,682,2201002,Arraial,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.31545795455807,0.0558305549317812
683,683,2201051,Assunção do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.58431647828669,0.138063518017439
684,684,2201101,Avelino Lopes,PI,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.56331991499144,0.100497819013469
685,685,2201150,Baixa Grande do Ribeiro,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.27187814642548,0.641291510279801
686,686,2201176,Barra D'Alcântara,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.824409619228707,0.021533377648234
687,687,2201200,Barras,PI,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.34225927424101,0.140302911240101
688,688,2201309,Barreiras do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.07939373900677,0.178776611058783
689,689,2201408,Barro Duro,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.542120574695119,0.0130170637495157
690,690,2201507,Batalha,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.46080286007401,0.129402600492637
691,691,2201556,Bela Vista do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.992137442689294,0.0409341598583748
692,692,2201572,Belém do Piauí,PI,Baixa,Exclusivamente Superficial,Manancial com Alta Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.714109317996409,0.0199459895921412
693,693,2201606,Beneditinos,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.5757485255039,0.0762895289112329
694,694,2201705,Bertolínia,PI,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.72251768847764,0.1004384095851
695,695,2201739,Betânia do Piauí,PI,Baixa,Exclusivamente Subterrânea,Manancial com Alta Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.15257843889804,0.0476588721040743
696,696,2201770,Boa Hora,PI,Média,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.839615464626289,0.0274514330593974
697,697,2201804,Bocaina,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.669031560975933,0.0214079674431977
698,698,2201903,Bom Jesus,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.03489653231443,0.450030341671013
699,699,2201919,Bom Princípio do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.993346168821609,0.0425632942555052
700,700,2201929,Bonfim do Piauí,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.731258408493577,0.0237918487132494
701,701,2201945,Boqueirão do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.943852831513643,0.021986408410459
702,702,2201960,Brasileira,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.93947190479189,0.0717011937925472
703,703,2201988,Brejo do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.20568214172889,0.186136665989987
704,704,2202000,Buriti dos Lopes,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.53669888249116,0.0560818080011809
705,705,2202026,Buriti dos Montes,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,2.59993868909782,0.198795941215871
706,706,2202059,Cabeceiras do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.05969395914009,0.0496035770076485
707,707,2202075,Cajazeiras do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.00401934979196,0.0420739437731709
708,708,2202083,Cajueiro da Praia,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.743062035529546,0.0220588903852529
709,709,2202091,Caldeirão Grande do Piauí,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.78446715162441,0.03824871798898
710,710,2202109,Campinas do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.07192423706326,0.0642376485363104
711,711,2202117,Campo Alegre do Fidalgo,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.23586268211592,0.0539880459459186
712,712,2202133,Campo Grande do Piauí,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.679970023421911,0.025528405709683
713,713,2202174,Campo Largo do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.08041787863935,0.038889727796669
714,714,2202208,Campo Maior,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,2.7291206511519,0.13703277970934
715,715,2202251,Canavieira,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.48405724496318,0.177195210182933
716,716,2202307,Canto do Buriti,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.92704915961304,0.355071597162628
717,717,2202406,Capitão de Campos,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.30750037195505,0.0464388017922761
718,718,2202455,Capitão Gervásio Oliveira,PI,Baixa,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.60660765660909,0.0931448759210917
719,719,2202505,Caracol,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.09972253198999,0.132500047457943
720,720,2202539,Caraúbas do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.990992488743035,0.0383561051847537
721,721,2202554,Caridade do Piauí,PI,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,0.923665712233387,0.0408816441216073
722,722,2202604,Castelo do Piauí,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.75844129662672,0.194075810444098
723,723,2202653,Caxingó,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.25233793140863,0.039962504923106
724,724,2202703,Cocal,PI,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.78393201632878,0.10532236135245
725,725,2202711,Cocal de Telha,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.738443680674497,0.0252926996999449
726,726,2202729,Cocal dos Alves,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.72735519160931,0.0264438044414173
727,727,2202737,Coivaras,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.948539463748636,0.0395954857491264
728,728,2202752,Colônia do Gurguéia,PI,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.06492504819681,0.0353327658677334
729,729,2202778,Colônia do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.26943167647427,0.0776191115669319
730,730,2202802,Conceição do Canindé,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.24101573283112,0.0676288267340591
731,731,2202851,Coronel José Dias,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,2.43606363530423,0.157407350867207
732,732,2202901,Corrente,PI,Baixa,Preponderantemente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.2232864037148,0.251680863699866
733,733,2203008,Cristalândia do Piauí,PI,Mínima,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.44718084060621,0.0994229265616388
734,734,2203107,Cristino Castro,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.87502238426791,0.151717909300164
735,735,2203206,Curimatá,PI,Média,Preponderantemente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.23888321103744,0.193307943741649
736,736,2203230,Currais,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.49280160770241,0.259442149366501
737,737,2203255,Curralinhos,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.846391873309843,0.0282288981190953
738,738,2203271,Curral Novo do Piauí,PI,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,1.26955741399349,0.0619274558226901
739,739,2203305,Demerval Lobão,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.551261376068138,0.0176882366765286
740,740,2203354,Dirceu Arcoverde,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.45867933326026,0.0837050030522366
741,741,2203404,Dom Expedito Lopes,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.656550524556423,0.0178966035354866
742,742,2203420,Domingos Mourão,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.51983848849699,0.0691345993047128
743,743,2203453,Dom Inocêncio,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,2.99808619351375,0.31816220625683
744,744,2203503,Elesbão Veloso,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.76900336209509,0.113076514362174
745,745,2203602,Eliseu Martins,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.54968492963112,0.0894374757804883
746,746,2203701,Esperantina,PI,Baixa,Exclusivamente Superficial,Manancial com Alta Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.73269111145283,0.0739903496685264
747,747,2203750,Fartura do Piauí,PI,Média,Exclusivamente Superficial,Manancial com Alta Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.15306424538525,0.0586981356560352
748,748,2203800,Flores do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.58623885308298,0.0775892488504352
749,749,2203859,Floresta do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.592428460108211,0.0182858756648997
750,750,2203909,Floriano,PI,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.59685000865082,0.279029450306892
751,751,2204006,Francinópolis,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.692838660217757,0.0219643921773521
752,752,2204105,Francisco Ayres,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.949141236468852,0.0536861489724096
753,753,2204154,Francisco Macedo,PI,Média,Exclusivamente Subterrânea,Manancial com Alta Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.522883074556025,0.0144541226101408
754,754,2204204,Francisco Santos,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.19558764375244,0.0402532544780625
755,755,2204303,Fronteiras,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.32138682277747,0.0636943325510884
756,756,2204352,Geminiano,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.909931538283814,0.0361305888557475
757,757,2204402,Gilbués,PI,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.01506451262956,0.287871230509585
758,758,2204501,Guadalupe,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.40280572532103,0.0837356963317858
759,759,2204550,Guaribas,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.10756704708865,0.256449850681541
760,760,2204600,Hugo Napoleão,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.731274407005021,0.0183337974219364
761,761,2204659,Ilha Grande,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.473081074802972,0.010900535914788
762,762,2204709,Inhuma,PI,Média,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.24768905185524,0.0799994034976621
763,763,2204808,Ipiranga do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.08471720802324,0.0433086666326145
764,764,2204907,Isaías Coelho,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.52302152587032,0.0656177734599967
765,765,2205003,Itainópolis,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.15176819841414,0.0677876783264636
766,766,2205102,Itaueira,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.03886055778774,0.209251682275207
767,767,2205151,Jacobina do Piauí,PI,Baixa,Preponderantemente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,1.84316481454813,0.109368663748606
768,768,2205201,Jaicós,PI,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.39747557391501,0.0708584218591267
769,769,2205250,Jardim do Mulato,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.11097936570742,0.0416530706743586
770,770,2205276,Jatobá do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.2841740187222,0.0530453853908979
771,771,2205300,Jerumenha,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.20304720348303,0.152849940332093
772,772,2205359,João Costa,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.79220730041198,0.147856090802836
773,773,2205409,Joaquim Pires,PI,Baixa,Exclusivamente Superficial,Manancial com Alta Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.41364312149107,0.0602284980033473
774,774,2205458,Joca Marques,PI,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.539937925156299,0.0135471873254543
775,775,2205508,José de Freitas,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.48407762914727,0.125375819712309
776,776,2205516,Juazeiro do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.48925788069261,0.076271292601758
777,777,2205524,Júlio Borges,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.35107040228012,0.106012315108305
778,778,2205532,Jurema,PI,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,2.01265350288118,0.104587065713463
779,779,2205540,Lagoinha do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.433593391804003,0.00552106084233747
780,780,2205557,Lagoa Alegre,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.780979988165344,0.0321588494512484
781,781,2205565,Lagoa do Barro do Piauí,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.90064596294526,0.109210390671787
782,782,2205573,Lagoa de São Francisco,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.64661379141858,0.0126800008828754
783,783,2205581,Lagoa do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.934438652999756,0.0348703976406271
784,784,2205599,Lagoa do Sítio,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.4110130171398,0.0657847887658127
785,785,2205607,Landri Sales,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.5677061911504,0.089140796077981
786,786,2205706,Luís Correia,PI,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.97512299797468,0.0874333495382985
787,787,2205805,Luzilândia,PI,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.32705298403685,0.0573323073956656
788,788,2205854,Madeiro,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.652883479383268,0.0144191179275082
789,789,2205904,Manoel Emídio,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.01439097682058,0.132849970761361
790,790,2205953,Marcolândia,PI,Baixa,Exclusivamente Subterrânea,Manancial com Alta Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.474084452420133,0.011465302946837
791,791,2206001,Marcos Parente,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.14420115484603,0.0554448130417076
792,792,2206050,Massapê do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.901093261738946,0.043424056938878
793,793,2206100,Matias Olímpio,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.569861187747613,0.0184283892657019
794,794,2206209,Miguel Alves,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.5068569647102,0.113529254317062
795,795,2206308,Miguel Leão,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.782892265025428,0.00762563369832435
796,796,2206357,Milton Brandão,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.54855849142996,0.106705100775594
797,797,2206407,Monsenhor Gil,PI,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.0019273860243,0.0463239364429269
798,798,2206506,Monsenhor Hipólito,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.93896639857903,0.0328456609116793
799,799,2206605,Monte Alegre do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.07246754436275,0.199161141755771
800,800,2206654,Morro Cabeça no Tempo,PI,Média,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,2.3479654044979,0.1821777046838
801,801,2206670,Morro do Chapéu do Piauí,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.900971274736649,0.0267249027858866
802,802,2206696,Murici dos Portelas,PI,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.24269342220327,0.0391069223557442
803,803,2206704,Nazaré do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.94808551262108,0.107695363694176
804,804,2206720,Nazária,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.851204523830163,0.0297449730145916
805,805,2206753,Nossa Senhora de Nazaré,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.27657534820637,0.0290359921889279
806,806,2206803,Nossa Senhora dos Remédios,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.767689175198811,0.0291460750553941
807,807,2206902,Novo Oriente do Piauí,PI,Mínima,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.28714268594717,0.0429948964377716
808,808,2206951,Novo Santo Antônio,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.03119135427079,0.0363294050830904
809,809,2207009,Oeiras,PI,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,3.33632792516842,0.221141787960282
810,810,2207108,Olho D'Água do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.67425781352947,0.0149528167080774
811,811,2207207,Padre Marcos,PI,Média,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.777843913510736,0.0228206671226194
812,812,2207306,Paes Landim,PI,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.817627983161834,0.0329059100495631
813,813,2207355,Pajeú do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.29499383506575,0.0809310013550239
814,814,2207405,Palmeira do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.36813215976833,0.166199505490928
815,815,2207504,Palmeirais,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.87745262864442,0.122422442634424
816,816,2207553,Paquetá,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.00300063936244,0.0354183158150374
817,817,2207603,Parnaguá,PI,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.82826444062573,0.283054013122344
818,818,2207702,Parnaíba,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.0908179314903,0.0354618386944706
819,819,2207751,Passagem Franca do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.60060032231267,0.0525420258034121
820,820,2207777,Patos do Piauí,PI,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,1.33145031446701,0.0658348483164495
821,821,2207793,Pau D'Arco do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.98997111586167,0.0351434698666905
822,822,2207801,Paulistana,PI,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,2.64540454381495,0.159272084287157
823,823,2207850,Pavussu,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.39317613543762,0.0894505549135525
824,824,2207900,Pedro II,PI,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.73120406943109,0.12585842435706
825,825,2207934,Pedro Laurentino,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.32595784572729,0.0713959578993708
826,826,2207959,Nova Santa Rita,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.23635697753253,0.074635679265711
827,827,2208007,Picos,PI,Baixa,Exclusivamente Subterrânea,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.29047822760808,0.0472495409856502
828,828,2208106,Pimenteiras,PI,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,3.38524410762107,0.372917801825181
829,829,2208205,Pio IX,PI,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,2.2373221918337,0.159283315459546
830,830,2208304,Piracuruca,PI,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.50431586751554,0.192900660847096
831,831,2208403,Piripiri,PI,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.02998381806791,0.114808298105416
832,832,2208502,Porto,PI,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.830012218878229,0.0206186218491853
833,833,2208551,Porto Alegre do Piauí,PI,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.64983049804435,0.0956913903554461
